State,Month,Tested,Confirmed,Deceased,latitude,longitude,population,Status,AQIUS,PM25,PM10,Temp,Humid
HARYANA,2021-04,203501259,10750354,103993,28.45000633,77.01999101,10000000,POOR,180,101,230,28,29
HARYANA,2020-11,91015576,6040289,62050,28.45000633,77.01999101,10000000,POOR,180,101,230,28,29
HARYANA,2021-09,362472338,23120694,292953,28.45000633,77.01999101,10000000,POOR,180,101,230,28,29
HARYANA,2020-03,0,595,0,28.45000633,77.01999101,10000000,POOR,180,101,230,28,29
HARYANA,2020-08,26659061,1498908,16928,28.45000633,77.01999101,10000000,POOR,180,101,230,28,29
HARYANA,2021-07,325228162,23851878,296641,28.45000633,77.01999101,10000000,POOR,180,101,230,28,29
HARYANA,2020-05,2284187,29691,383,28.45000633,77.01999101,10000000,POOR,180,101,230,28,29
HARYANA,2020-10,71734100,4586100,50279,28.45000633,77.01999101,10000000,POOR,180,101,230,28,29
HARYANA,2020-07,13141441,754651,10250,28.45000633,77.01999101,10000000,POOR,180,101,230,28,29
HARYANA,2021-06,287882535,22962739,271005,28.45000633,77.01999101,10000000,POOR,180,101,230,28,29
HARYANA,2021-03,184768648,8618144,95720,28.45000633,77.01999101,10000000,POOR,180,101,230,28,29
HARYANA,2021-10,394737866,23903053,309253,28.45000633,77.01999101,10000000,POOR,180,101,230,28,29
HIMACHAL PRADESH,2020-04,65423,922,58,31.10002545,77.16659704,6864602,MODERATE,69,20,36,19,31
HIMACHAL PRADESH,2020-06,1715066,17884,208,31.10002545,77.16659704,6864602,MODERATE,69,20,36,19,31
HIMACHAL PRADESH,2020-03,0,33,3,31.10002545,77.16659704,6864602,MODERATE,69,20,36,19,31
HIMACHAL PRADESH,2021-06,66051493,5953608,101090,31.10002545,77.16659704,6864602,MODERATE,69,20,36,19,31
HIMACHAL PRADESH,2020-07,3418936,47873,332,31.10002545,77.16659704,6864602,MODERATE,69,20,36,19,31
HIMACHAL PRADESH,2020-11,13865809,913866,13759,31.10002545,77.16659704,6864602,MODERATE,69,20,36,19,31
HIMACHAL PRADESH,2021-05,53623693,4780814,71933,31.10002545,77.16659704,6864602,MODERATE,69,20,36,19,31
HIMACHAL PRADESH,2020-10,10585297,573688,7949,31.10002545,77.16659704,6864602,MODERATE,69,20,36,19,31
HIMACHAL PRADESH,2021-09,100153979,6492289,108773,31.10002545,77.16659704,6864602,MODERATE,69,20,36,19,31
